"","SOURCE_FEA","Watershed_Area","Wetland_Area","geometry"
"1","01489000",2091.51,123.899776439653,c(1727620.04723572, 1927033.161852)
"2","01484500",1229.49,169.461600149694,c(1767292.81580771, 1927265.14369061)
"3","01485500",11741.31,6131.53359126163,c(1766260.43590858, 1879995.4163161)
"4","01484540",25061.49,2943.15776878234,c(1779538.83715795, 1924416.23682101)
"5","01488600",16392.6,7850.66128411979,c(1733708.49265736, 1941995.08131082)
"6","01484800",368.46,220.23994976709,c(1749358.11165351, 1793142.81495153)
"7","01487060",737.28,463.700987863314,c(1759011.31017214, 1935648.82608473)
"8","01487698",1098.27,99.2106750697058,c(1753817.68331404, 1918390.18465724)
"9","01484600",1860.39,190.018792622735,c(1784620.30025515, 1920381.04077261)
"10","01488110",105887.16,21975.3717700848,c(1737624.89137934, 1909980.70667574)
"11","01486000",3016.08,1453.26930409303,c(1749678.04348069, 1874636.7706819)
"12","01484534",1161.63,30.5091287041533,c(1774888.03495166, 1927112.9093432)
"13","01484525",16475.58,2110.25968768903,c(1772661.65092539, 1923380.15035056)
"14","01484548",1072.44,167.534635664202,c(1781721.28298763, 1917880.69244328)
"15","01487500",125.01,17.0501900205181,c(1758147.51721486, 1912530.19786123)
"16","01484668",159.84,4.47381817079574,c(1783665.13374286, 1941490.02974367)
"17","01484695",337.86,41.3356555104372,c(1787716.70000459, 1918332.87520968)
"18","01484696",414.81,37.0782604968413,c(1793953.19640757, 1918679.2659564)
"19","01490000",3767.94,439.581500099486,c(1724910.66243193, 1903487.77299734)
"20","01487000",19328.49,4531.85355116517,c(1746626.27113759, 1933004.80773261)
"21","01484981",295.11,101.96862818737,c(1768813.07635853, 1906196.55710825)
"22","01484654",1646.19,134.486074230112,c(1776741.05546993, 1938847.7181834)
"23","01484983",1078.74,611.030670795372,c(1767571.67662598, 1904764.75702284)
"24","01484985",2609.46,1061.98070179487,c(1771392.85247676, 1905013.57395767)
"25","01489500",3001.14,352.489025877046,c(1738004.07575223, 1894752.90259165)
"26","0148471320",1330.11,618.288881448182,c(1783796.79793967, 1904618.82621471)
"27","01492000",1597.59,103.807374989965,c(1710279.04637649, 1934681.07476327)
"28","01485000",16382.79,10736.4258050863,c(1774855.65272993, 1900238.53423972)
"29","01484270",1805.49,107.239267679902,c(1770646.4335686, 1942084.30225061)
"30","01484719",127.17,34.225325905506,c(1784485.56685485, 1888490.63522648)
"31","01486500",4979.88,1268.79553433304,c(1754707.42649037, 1891711.92483924)
"32","01484300",1837.62,217.379867575715,c(1764349.92652475, 1946727.8878593)
"33","01488500",12237.03,5250.68101936376,c(1734388.62139028, 1944264.85793144)
"34","01483200",1007.01,378.006626729499,c(1722407.35261182, 2000909.72876399)
"35","01494500",1375.29,277.326187369183,c(1709899.97429238, 1997938.82455483)
"36","01493500",3104.82,142.003606536179,c(1695621.11382068, 1985252.17303597)
"37","01493112",1825.92,77.5017532428448,c(1702339.49749939, 1984063.84645576)
"38","01493000",5324.85,1966.71175170075,c(1709146.39921617, 1984668.62861491)
"39","01483500",2302.74,560.08691314204,c(1728693.83607759, 1986977.3338593)
"40","01483670",2140.47,786.25055007896,c(1734261.37076829, 1981780.55270474)
"41","01483700",8106.39,2034.70867874244,c(1739790.67939678, 1981456.52601116)
"42","01494000",2944.98,347.643859380955,c(1701899.40594395, 1969677.38193901)
"43","01490500",3251.25,2031.08323903613,c(1727989.98720845, 1969212.53159807)
"44","01484085",24619.23,2798.39381025972,c(1752487.58305462, 1972070.32913052)
"45","01491000",35402.67,16015.5628649276,c(1721469.41127605, 1958377.25845201)
"46","01484000",3658.32,852.89328474002,c(1740275.74518723, 1960024.96611126)
"47","01491500",23811.93,4645.64468624449,c(1708983.96359586, 1952196.34409094)
"48","01492500",1854.45,195.858038473381,c(1695059.90989812, 1949026.35217573)
"49","01484100",805.68,173.266273520697,c(1746517.88674704, 1953340.0388985)
"50","01495800",1151.91,493.539640710123,c(1708053.09564423, 2019368.01763383)
"51","01483175",3832.92,350.917085325982,c(1721382.24531656, 2012874.92187272)
"52","01483177",10378.44,889.630596394437,c(1724689.65737187, 2012811.73935536)
"53","01483170",1167.84,119.897659988437,c(1718594.14644825, 2011128.74915288)
"54","01483153",2433.69,304.130726191636,c(1719667.2435384, 2008070.97484451)
"55","01483155",503.64,10.034367983917,c(1716441.4427133, 2007007.38575616)
